Target,Evaluation Year,Model Variant,Feature Set,Numeric Feature Count,Categorical Feature Count,Encoded Feature Count,Training-Only Imputation Confirmed,Training-Only Encoder Confirmed,Training-Only Scaling Confirmed,Evaluation Unknown-Category Count,Evaluation Missing-Value Count,No Evaluation Fit Operations,No Global Scaling,No Target Encoding,Status,Training Mode
ENTRY_FILLED,2019,LOGIT_FULL,FS3_FULL_SIGNAL_STATE,86,11,109,True,True,True,0,81,True,True,True,PASS,PRIMARY_ONLY
ENTRY_FILLED,2019,RF_FULL,FS3_FULL_SIGNAL_STATE,86,11,109,True,True,False,0,81,True,True,True,PASS,PRIMARY_ONLY
ENTRY_FILLED,2020,LOGIT_RULE,FS1_RULE_SUMMARY,2,3,8,True,True,True,0,0,True,True,True,PASS,PRIMARY_ONLY
ENTRY_FILLED,2020,LOGIT_RAW,FS2_RAW_SIGNAL_STATE,84,8,101,True,True,True,0,54,True,True,True,PASS,PRIMARY_ONLY
ENTRY_FILLED,2020,LOGIT_FULL,FS3_FULL_SIGNAL_STATE,86,11,109,True,True,True,0,54,True,True,True,PASS,PRIMARY_ONLY
ENTRY_FILLED,2020,RF_FULL,FS3_FULL_SIGNAL_STATE,86,11,109,True,True,False,0,54,True,True,True,PASS,PRIMARY_ONLY
ENTRY_FILLED,2021,LOGIT_RULE,FS1_RULE_SUMMARY,2,3,8,True,True,True,0,0,True,True,True,PASS,PRIMARY_ONLY
ENTRY_FILLED,2021,LOGIT_RAW,FS2_RAW_SIGNAL_STATE,84,8,101,True,True,True,0,97,True,True,True,PASS,PRIMARY_ONLY
ENTRY_FILLED,2021,LOGIT_FULL,FS3_FULL_SIGNAL_STATE,86,11,109,True,True,True,0,97,True,True,True,PASS,PRIMARY_ONLY
ENTRY_FILLED,2021,RF_FULL,FS3_FULL_SIGNAL_STATE,86,11,109,True,True,False,0,97,True,True,True,PASS,PRIMARY_ONLY
ENTRY_FILLED,2022,LOGIT_RULE,FS1_RULE_SUMMARY,2,3,8,True,True,True,0,0,True,True,True,PASS,PRIMARY_ONLY
ENTRY_FILLED,2022,LOGIT_RAW,FS2_RAW_SIGNAL_STATE,84,8,101,True,True,True,0,94,True,True,True,PASS,PRIMARY_ONLY
ENTRY_FILLED,2022,LOGIT_FULL,FS3_FULL_SIGNAL_STATE,86,11,109,True,True,True,0,94,True,True,True,PASS,PRIMARY_ONLY
ENTRY_FILLED,2022,RF_FULL,FS3_FULL_SIGNAL_STATE,86,11,109,True,True,False,0,94,True,True,True,PASS,PRIMARY_ONLY
ENTRY_FILLED,2023,LOGIT_RULE,FS1_RULE_SUMMARY,2,3,8,True,True,True,0,0,True,True,True,PASS,PRIMARY_ONLY
ENTRY_FILLED,2023,LOGIT_RAW,FS2_RAW_SIGNAL_STATE,84,8,101,True,True,True,0,106,True,True,True,PASS,PRIMARY_ONLY
ENTRY_FILLED,2023,LOGIT_FULL,FS3_FULL_SIGNAL_STATE,86,11,109,True,True,True,0,106,True,True,True,PASS,PRIMARY_ONLY
ENTRY_FILLED,2023,RF_FULL,FS3_FULL_SIGNAL_STATE,86,11,109,True,True,False,0,106,True,True,True,PASS,PRIMARY_ONLY
ENTRY_FILLED,2024,LOGIT_RULE,FS1_RULE_SUMMARY,2,3,8,True,True,True,0,0,True,True,True,PASS,PRIMARY_ONLY
ENTRY_FILLED,2024,LOGIT_RAW,FS2_RAW_SIGNAL_STATE,84,8,101,True,True,True,0,54,True,True,True,PASS,PRIMARY_ONLY
ENTRY_FILLED,2024,LOGIT_FULL,FS3_FULL_SIGNAL_STATE,86,11,109,True,True,True,0,54,True,True,True,PASS,PRIMARY_ONLY
ENTRY_FILLED,2024,RF_FULL,FS3_FULL_SIGNAL_STATE,86,11,109,True,True,False,0,54,True,True,True,PASS,PRIMARY_ONLY
ENTRY_FILLED,2025,LOGIT_RULE,FS1_RULE_SUMMARY,2,3,8,True,True,True,0,0,True,True,True,PASS,PRIMARY_ONLY
ENTRY_FILLED,2025,LOGIT_RAW,FS2_RAW_SIGNAL_STATE,84,8,101,True,True,True,0,65,True,True,True,PASS,PRIMARY_ONLY
ENTRY_FILLED,2025,LOGIT_FULL,FS3_FULL_SIGNAL_STATE,86,11,109,True,True,True,0,65,True,True,True,PASS,PRIMARY_ONLY
ENTRY_FILLED,2025,RF_FULL,FS3_FULL_SIGNAL_STATE,86,11,109,True,True,False,0,65,True,True,True,PASS,PRIMARY_ONLY
ENTRY_FILLED,2026,LOGIT_RULE,FS1_RULE_SUMMARY,2,3,8,True,True,True,0,0,True,True,True,PASS,PRIMARY_ONLY
ENTRY_FILLED,2026,LOGIT_RAW,FS2_RAW_SIGNAL_STATE,84,8,101,True,True,True,0,25,True,True,True,PASS,PRIMARY_ONLY
ENTRY_FILLED,2026,LOGIT_FULL,FS3_FULL_SIGNAL_STATE,86,11,109,True,True,True,0,25,True,True,True,PASS,PRIMARY_ONLY
ENTRY_FILLED,2026,RF_FULL,FS3_FULL_SIGNAL_STATE,86,11,109,True,True,False,0,25,True,True,True,PASS,PRIMARY_ONLY
T1_BEFORE_STOP_63,2016,LOGIT_RULE,FS1_RULE_SUMMARY,2,3,8,True,True,True,0,0,True,True,True,PASS,PRIMARY_ONLY
T1_BEFORE_STOP_63,2016,LOGIT_RAW,FS2_RAW_SIGNAL_STATE,84,8,101,True,True,True,0,52,True,True,True,PASS,PRIMARY_ONLY
T1_BEFORE_STOP_63,2016,LOGIT_FULL,FS3_FULL_SIGNAL_STATE,86,11,109,True,True,True,0,52,True,True,True,PASS,PRIMARY_ONLY
T1_BEFORE_STOP_63,2016,RF_FULL,FS3_FULL_SIGNAL_STATE,86,11,109,True,True,False,0,52,True,True,True,PASS,PRIMARY_ONLY
T1_BEFORE_STOP_63,2017,LOGIT_RULE,FS1_RULE_SUMMARY,2,3,8,True,True,True,0,0,True,True,True,PASS,PRIMARY_ONLY
T1_BEFORE_STOP_63,2017,LOGIT_RAW,FS2_RAW_SIGNAL_STATE,84,8,101,True,True,True,0,65,True,True,True,PASS,PRIMARY_ONLY
T1_BEFORE_STOP_63,2017,LOGIT_FULL,FS3_FULL_SIGNAL_STATE,86,11,109,True,True,True,0,65,True,True,True,PASS,PRIMARY_ONLY
T1_BEFORE_STOP_63,2017,RF_FULL,FS3_FULL_SIGNAL_STATE,86,11,109,True,True,False,0,65,True,True,True,PASS,PRIMARY_ONLY
T1_BEFORE_STOP_63,2018,LOGIT_RULE,FS1_RULE_SUMMARY,2,3,8,True,True,True,0,0,True,True,True,PASS,PRIMARY_ONLY
T1_BEFORE_STOP_63,2018,LOGIT_RAW,FS2_RAW_SIGNAL_STATE,84,8,101,True,True,True,0,81,True,True,True,PASS,PRIMARY_ONLY
T1_BEFORE_STOP_63,2018,LOGIT_FULL,FS3_FULL_SIGNAL_STATE,86,11,109,True,True,True,0,81,True,True,True,PASS,PRIMARY_ONLY
T1_BEFORE_STOP_63,2018,RF_FULL,FS3_FULL_SIGNAL_STATE,86,11,109,True,True,False,0,81,True,True,True,PASS,PRIMARY_ONLY
T1_BEFORE_STOP_63,2019,LOGIT_RULE,FS1_RULE_SUMMARY,2,3,8,True,True,True,0,0,True,True,True,PASS,PRIMARY_ONLY
T1_BEFORE_STOP_63,2019,LOGIT_RAW,FS2_RAW_SIGNAL_STATE,84,8,101,True,True,True,0,81,True,True,True,PASS,PRIMARY_ONLY
T1_BEFORE_STOP_63,2019,LOGIT_FULL,FS3_FULL_SIGNAL_STATE,86,11,109,True,True,True,0,81,True,True,True,PASS,PRIMARY_ONLY
T1_BEFORE_STOP_63,2019,RF_FULL,FS3_FULL_SIGNAL_STATE,86,11,109,True,True,False,0,81,True,True,True,PASS,PRIMARY_ONLY
T1_BEFORE_STOP_63,2020,LOGIT_RULE,FS1_RULE_SUMMARY,2,3,8,True,True,True,0,0,True,True,True,PASS,PRIMARY_ONLY
T1_BEFORE_STOP_63,2020,LOGIT_RAW,FS2_RAW_SIGNAL_STATE,84,8,101,True,True,True,0,54,True,True,True,PASS,PRIMARY_ONLY
T1_BEFORE_STOP_63,2020,LOGIT_FULL,FS3_FULL_SIGNAL_STATE,86,11,109,True,True,True,0,54,True,True,True,PASS,PRIMARY_ONLY
T1_BEFORE_STOP_63,2020,RF_FULL,FS3_FULL_SIGNAL_STATE,86,11,109,True,True,False,0,54,True,True,True,PASS,PRIMARY_ONLY
T1_BEFORE_STOP_63,2021,LOGIT_RULE,FS1_RULE_SUMMARY,2,3,8,True,True,True,0,0,True,True,True,PASS,PRIMARY_ONLY
T1_BEFORE_STOP_63,2021,LOGIT_RAW,FS2_RAW_SIGNAL_STATE,84,8,101,True,True,True,0,97,True,True,True,PASS,PRIMARY_ONLY
T1_BEFORE_STOP_63,2021,LOGIT_FULL,FS3_FULL_SIGNAL_STATE,86,11,109,True,True,True,0,97,True,True,True,PASS,PRIMARY_ONLY
T1_BEFORE_STOP_63,2021,RF_FULL,FS3_FULL_SIGNAL_STATE,86,11,109,True,True,False,0,97,True,True,True,PASS,PRIMARY_ONLY
T1_BEFORE_STOP_63,2022,LOGIT_RULE,FS1_RULE_SUMMARY,2,3,8,True,True,True,0,0,True,True,True,PASS,PRIMARY_ONLY
T1_BEFORE_STOP_63,2022,LOGIT_RAW,FS2_RAW_SIGNAL_STATE,84,8,101,True,True,True,0,94,True,True,True,PASS,PRIMARY_ONLY
T1_BEFORE_STOP_63,2022,LOGIT_FULL,FS3_FULL_SIGNAL_STATE,86,11,109,True,True,True,0,94,True,True,True,PASS,PRIMARY_ONLY
T1_BEFORE_STOP_63,2022,RF_FULL,FS3_FULL_SIGNAL_STATE,86,11,109,True,True,False,0,94,True,True,True,PASS,PRIMARY_ONLY
T1_BEFORE_STOP_63,2023,LOGIT_RULE,FS1_RULE_SUMMARY,2,3,8,True,True,True,0,0,True,True,True,PASS,PRIMARY_ONLY
T1_BEFORE_STOP_63,2023,LOGIT_RAW,FS2_RAW_SIGNAL_STATE,84,8,101,True,True,True,0,106,True,True,True,PASS,PRIMARY_ONLY
T1_BEFORE_STOP_63,2023,LOGIT_FULL,FS3_FULL_SIGNAL_STATE,86,11,109,True,True,True,0,106,True,True,True,PASS,PRIMARY_ONLY
T1_BEFORE_STOP_63,2023,RF_FULL,FS3_FULL_SIGNAL_STATE,86,11,109,True,True,False,0,106,True,True,True,PASS,PRIMARY_ONLY
T1_BEFORE_STOP_63,2024,LOGIT_RULE,FS1_RULE_SUMMARY,2,3,8,True,True,True,0,0,True,True,True,PASS,PRIMARY_ONLY
T1_BEFORE_STOP_63,2024,LOGIT_RAW,FS2_RAW_SIGNAL_STATE,84,8,101,True,True,True,0,54,True,True,True,PASS,PRIMARY_ONLY
T1_BEFORE_STOP_63,2024,LOGIT_FULL,FS3_FULL_SIGNAL_STATE,86,11,109,True,True,True,0,54,True,True,True,PASS,PRIMARY_ONLY
T1_BEFORE_STOP_63,2024,RF_FULL,FS3_FULL_SIGNAL_STATE,86,11,109,True,True,False,0,54,True,True,True,PASS,PRIMARY_ONLY
T1_BEFORE_STOP_63,2025,LOGIT_RULE,FS1_RULE_SUMMARY,2,3,8,True,True,True,0,0,True,True,True,PASS,PRIMARY_ONLY
T1_BEFORE_STOP_63,2025,LOGIT_RAW,FS2_RAW_SIGNAL_STATE,84,8,101,True,True,True,0,65,True,True,True,PASS,PRIMARY_ONLY
T1_BEFORE_STOP_63,2025,LOGIT_FULL,FS3_FULL_SIGNAL_STATE,86,11,109,True,True,True,0,65,True,True,True,PASS,PRIMARY_ONLY
T1_BEFORE_STOP_63,2025,RF_FULL,FS3_FULL_SIGNAL_STATE,86,11,109,True,True,False,0,65,True,True,True,PASS,PRIMARY_ONLY
T1_BEFORE_STOP_63,2026,LOGIT_RULE,FS1_RULE_SUMMARY,2,3,8,True,True,True,0,0,True,True,True,PASS,PRIMARY_ONLY
T1_BEFORE_STOP_63,2026,LOGIT_RAW,FS2_RAW_SIGNAL_STATE,84,8,101,True,True,True,0,25,True,True,True,PASS,PRIMARY_ONLY
T1_BEFORE_STOP_63,2026,LOGIT_FULL,FS3_FULL_SIGNAL_STATE,86,11,109,True,True,True,0,25,True,True,True,PASS,PRIMARY_ONLY
T1_BEFORE_STOP_63,2026,RF_FULL,FS3_FULL_SIGNAL_STATE,86,11,109,True,True,False,0,25,True,True,True,PASS,PRIMARY_ONLY
T2_BEFORE_STOP_63,2016,LOGIT_RULE,FS1_RULE_SUMMARY,2,3,8,True,True,True,0,0,True,True,True,PASS,PRIMARY_ONLY
T2_BEFORE_STOP_63,2016,LOGIT_RAW,FS2_RAW_SIGNAL_STATE,84,8,101,True,True,True,0,52,True,True,True,PASS,PRIMARY_ONLY
T2_BEFORE_STOP_63,2016,LOGIT_FULL,FS3_FULL_SIGNAL_STATE,86,11,109,True,True,True,0,52,True,True,True,PASS,PRIMARY_ONLY
T2_BEFORE_STOP_63,2016,RF_FULL,FS3_FULL_SIGNAL_STATE,86,11,109,True,True,False,0,52,True,True,True,PASS,PRIMARY_ONLY
T2_BEFORE_STOP_63,2017,LOGIT_RULE,FS1_RULE_SUMMARY,2,3,8,True,True,True,0,0,True,True,True,PASS,PRIMARY_ONLY
T2_BEFORE_STOP_63,2017,LOGIT_RAW,FS2_RAW_SIGNAL_STATE,84,8,101,True,True,True,0,65,True,True,True,PASS,PRIMARY_ONLY
T2_BEFORE_STOP_63,2017,LOGIT_FULL,FS3_FULL_SIGNAL_STATE,86,11,109,True,True,True,0,65,True,True,True,PASS,PRIMARY_ONLY
T2_BEFORE_STOP_63,2017,RF_FULL,FS3_FULL_SIGNAL_STATE,86,11,109,True,True,False,0,65,True,True,True,PASS,PRIMARY_ONLY
T2_BEFORE_STOP_63,2018,LOGIT_RULE,FS1_RULE_SUMMARY,2,3,8,True,True,True,0,0,True,True,True,PASS,PRIMARY_ONLY
T2_BEFORE_STOP_63,2018,LOGIT_RAW,FS2_RAW_SIGNAL_STATE,84,8,101,True,True,True,0,81,True,True,True,PASS,PRIMARY_ONLY
T2_BEFORE_STOP_63,2018,LOGIT_FULL,FS3_FULL_SIGNAL_STATE,86,11,109,True,True,True,0,81,True,True,True,PASS,PRIMARY_ONLY
T2_BEFORE_STOP_63,2018,RF_FULL,FS3_FULL_SIGNAL_STATE,86,11,109,True,True,False,0,81,True,True,True,PASS,PRIMARY_ONLY
T2_BEFORE_STOP_63,2019,LOGIT_RULE,FS1_RULE_SUMMARY,2,3,8,True,True,True,0,0,True,True,True,PASS,PRIMARY_ONLY
T2_BEFORE_STOP_63,2019,LOGIT_RAW,FS2_RAW_SIGNAL_STATE,84,8,101,True,True,True,0,81,True,True,True,PASS,PRIMARY_ONLY
T2_BEFORE_STOP_63,2019,LOGIT_FULL,FS3_FULL_SIGNAL_STATE,86,11,109,True,True,True,0,81,True,True,True,PASS,PRIMARY_ONLY
T2_BEFORE_STOP_63,2019,RF_FULL,FS3_FULL_SIGNAL_STATE,86,11,109,True,True,False,0,81,True,True,True,PASS,PRIMARY_ONLY
T2_BEFORE_STOP_63,2020,LOGIT_RULE,FS1_RULE_SUMMARY,2,3,8,True,True,True,0,0,True,True,True,PASS,PRIMARY_ONLY
T2_BEFORE_STOP_63,2020,LOGIT_RAW,FS2_RAW_SIGNAL_STATE,84,8,101,True,True,True,0,54,True,True,True,PASS,PRIMARY_ONLY
T2_BEFORE_STOP_63,2020,LOGIT_FULL,FS3_FULL_SIGNAL_STATE,86,11,109,True,True,True,0,54,True,True,True,PASS,PRIMARY_ONLY
T2_BEFORE_STOP_63,2020,RF_FULL,FS3_FULL_SIGNAL_STATE,86,11,109,True,True,False,0,54,True,True,True,PASS,PRIMARY_ONLY
T2_BEFORE_STOP_63,2021,LOGIT_RULE,FS1_RULE_SUMMARY,2,3,8,True,True,True,0,0,True,True,True,PASS,PRIMARY_ONLY
T2_BEFORE_STOP_63,2021,LOGIT_RAW,FS2_RAW_SIGNAL_STATE,84,8,101,True,True,True,0,97,True,True,True,PASS,PRIMARY_ONLY
T2_BEFORE_STOP_63,2021,LOGIT_FULL,FS3_FULL_SIGNAL_STATE,86,11,109,True,True,True,0,97,True,True,True,PASS,PRIMARY_ONLY
T2_BEFORE_STOP_63,2021,RF_FULL,FS3_FULL_SIGNAL_STATE,86,11,109,True,True,False,0,97,True,True,True,PASS,PRIMARY_ONLY
T2_BEFORE_STOP_63,2022,LOGIT_RULE,FS1_RULE_SUMMARY,2,3,8,True,True,True,0,0,True,True,True,PASS,PRIMARY_ONLY
T2_BEFORE_STOP_63,2022,LOGIT_RAW,FS2_RAW_SIGNAL_STATE,84,8,101,True,True,True,0,94,True,True,True,PASS,PRIMARY_ONLY
T2_BEFORE_STOP_63,2022,LOGIT_FULL,FS3_FULL_SIGNAL_STATE,86,11,109,True,True,True,0,94,True,True,True,PASS,PRIMARY_ONLY
T2_BEFORE_STOP_63,2022,RF_FULL,FS3_FULL_SIGNAL_STATE,86,11,109,True,True,False,0,94,True,True,True,PASS,PRIMARY_ONLY
T2_BEFORE_STOP_63,2023,LOGIT_RULE,FS1_RULE_SUMMARY,2,3,8,True,True,True,0,0,True,True,True,PASS,PRIMARY_ONLY
T2_BEFORE_STOP_63,2023,LOGIT_RAW,FS2_RAW_SIGNAL_STATE,84,8,101,True,True,True,0,106,True,True,True,PASS,PRIMARY_ONLY
T2_BEFORE_STOP_63,2023,LOGIT_FULL,FS3_FULL_SIGNAL_STATE,86,11,109,True,True,True,0,106,True,True,True,PASS,PRIMARY_ONLY
T2_BEFORE_STOP_63,2023,RF_FULL,FS3_FULL_SIGNAL_STATE,86,11,109,True,True,False,0,106,True,True,True,PASS,PRIMARY_ONLY
T2_BEFORE_STOP_63,2024,LOGIT_RULE,FS1_RULE_SUMMARY,2,3,8,True,True,True,0,0,True,True,True,PASS,PRIMARY_ONLY
T2_BEFORE_STOP_63,2024,LOGIT_RAW,FS2_RAW_SIGNAL_STATE,84,8,101,True,True,True,0,54,True,True,True,PASS,PRIMARY_ONLY
T2_BEFORE_STOP_63,2024,LOGIT_FULL,FS3_FULL_SIGNAL_STATE,86,11,109,True,True,True,0,54,True,True,True,PASS,PRIMARY_ONLY
T2_BEFORE_STOP_63,2024,RF_FULL,FS3_FULL_SIGNAL_STATE,86,11,109,True,True,False,0,54,True,True,True,PASS,PRIMARY_ONLY
T2_BEFORE_STOP_63,2025,LOGIT_RULE,FS1_RULE_SUMMARY,2,3,8,True,True,True,0,0,True,True,True,PASS,PRIMARY_ONLY
T2_BEFORE_STOP_63,2025,LOGIT_RAW,FS2_RAW_SIGNAL_STATE,84,8,101,True,True,True,0,65,True,True,True,PASS,PRIMARY_ONLY
T2_BEFORE_STOP_63,2025,LOGIT_FULL,FS3_FULL_SIGNAL_STATE,86,11,109,True,True,True,0,65,True,True,True,PASS,PRIMARY_ONLY
T2_BEFORE_STOP_63,2025,RF_FULL,FS3_FULL_SIGNAL_STATE,86,11,109,True,True,False,0,65,True,True,True,PASS,PRIMARY_ONLY
T2_BEFORE_STOP_63,2026,LOGIT_RULE,FS1_RULE_SUMMARY,2,3,8,True,True,True,0,0,True,True,True,PASS,PRIMARY_ONLY
T2_BEFORE_STOP_63,2026,LOGIT_RAW,FS2_RAW_SIGNAL_STATE,84,8,101,True,True,True,0,25,True,True,True,PASS,PRIMARY_ONLY
T2_BEFORE_STOP_63,2026,LOGIT_FULL,FS3_FULL_SIGNAL_STATE,86,11,109,True,True,True,0,25,True,True,True,PASS,PRIMARY_ONLY
T2_BEFORE_STOP_63,2026,RF_FULL,FS3_FULL_SIGNAL_STATE,86,11,109,True,True,False,0,25,True,True,True,PASS,PRIMARY_ONLY
