Method,Dataset,Target,Evaluation Year,Evaluation Start,Evaluation End,Training Signal Date Min,Training Signal Date Max,Training Label Availability Cutoff,Training Rows,Evaluation Rows,Censored Rows Excluded,Ambiguous Rows Count,Training Availability Violations
HISTORICAL WALK-FORWARD / PSEUDO-OOS,trade_opportunity,ENTRY_FILLED,2026,2026-01-01,2026-08-28,2011-09-09,2025-12-30,2026-01-01,13226,308,3,0,0
HISTORICAL WALK-FORWARD / PSEUDO-OOS,trade_opportunity,T1_BEFORE_STOP_63,2016,2016-01-04,2016-12-30,2011-09-09,2015-12-30,2016-01-04,3151,384,145,0,0
HISTORICAL WALK-FORWARD / PSEUDO-OOS,trade_opportunity,T1_BEFORE_STOP_63,2017,2017-01-02,2017-12-29,2011-09-09,2016-12-22,2017-01-02,3539,978,241,3,0
HISTORICAL WALK-FORWARD / PSEUDO-OOS,trade_opportunity,T1_BEFORE_STOP_63,2018,2018-01-02,2018-12-31,2011-09-09,2017-12-27,2018-01-02,4485,597,193,0,0
HISTORICAL WALK-FORWARD / PSEUDO-OOS,trade_opportunity,T1_BEFORE_STOP_63,2019,2019-01-02,2019-12-31,2011-09-09,2018-12-17,2019-01-02,5093,540,195,0,0
HISTORICAL WALK-FORWARD / PSEUDO-OOS,trade_opportunity,T1_BEFORE_STOP_63,2020,2020-01-01,2020-12-31,2011-09-09,2019-12-13,2020-01-01,5650,545,216,0,0
HISTORICAL WALK-FORWARD / PSEUDO-OOS,trade_opportunity,T1_BEFORE_STOP_63,2021,2021-01-01,2021-12-31,2011-09-09,2020-12-22,2021-01-01,6165,1057,352,0,0
HISTORICAL WALK-FORWARD / PSEUDO-OOS,trade_opportunity,T1_BEFORE_STOP_63,2022,2022-01-05,2022-12-30,2011-09-09,2021-12-30,2022-01-05,7265,670,226,0,0
HISTORICAL WALK-FORWARD / PSEUDO-OOS,trade_opportunity,T1_BEFORE_STOP_63,2023,2023-01-02,2023-12-29,2011-09-09,2022-12-26,2023-01-02,7911,740,285,2,0
HISTORICAL WALK-FORWARD / PSEUDO-OOS,trade_opportunity,T1_BEFORE_STOP_63,2024,2024-01-01,2024-12-31,2011-09-09,2023-12-26,2024-01-01,8636,851,299,3,0
HISTORICAL WALK-FORWARD / PSEUDO-OOS,trade_opportunity,T1_BEFORE_STOP_63,2025,2025-01-01,2025-12-31,2011-09-09,2024-12-23,2025-01-01,9472,533,155,0,0
HISTORICAL WALK-FORWARD / PSEUDO-OOS,trade_opportunity,T1_BEFORE_STOP_63,2026,2026-01-01,2026-08-28,2011-09-09,2025-12-17,2026-01-01,9993,198,113,0,0
HISTORICAL WALK-FORWARD / PSEUDO-OOS,trade_opportunity,T2_BEFORE_STOP_63,2016,2016-01-04,2016-12-30,2011-09-09,2015-12-07,2016-01-04,3148,384,145,0,0
HISTORICAL WALK-FORWARD / PSEUDO-OOS,trade_opportunity,T2_BEFORE_STOP_63,2017,2017-01-02,2017-12-29,2011-09-09,2016-12-22,2017-01-02,3524,978,241,3,0
HISTORICAL WALK-FORWARD / PSEUDO-OOS,trade_opportunity,T2_BEFORE_STOP_63,2018,2018-01-02,2018-12-31,2011-09-09,2017-12-19,2018-01-02,4387,597,193,0,0
HISTORICAL WALK-FORWARD / PSEUDO-OOS,trade_opportunity,T2_BEFORE_STOP_63,2019,2019-01-02,2019-12-31,2011-09-09,2018-12-05,2019-01-02,5084,540,195,0,0
HISTORICAL WALK-FORWARD / PSEUDO-OOS,trade_opportunity,T2_BEFORE_STOP_63,2020,2020-01-01,2020-12-31,2011-09-09,2019-12-12,2020-01-01,5620,545,216,0,0
HISTORICAL WALK-FORWARD / PSEUDO-OOS,trade_opportunity,T2_BEFORE_STOP_63,2021,2021-01-01,2021-12-31,2011-09-09,2020-12-18,2021-01-01,6129,1057,352,0,0
HISTORICAL WALK-FORWARD / PSEUDO-OOS,trade_opportunity,T2_BEFORE_STOP_63,2022,2022-01-05,2022-12-30,2011-09-09,2021-12-14,2022-01-05,7253,670,226,0,0
HISTORICAL WALK-FORWARD / PSEUDO-OOS,trade_opportunity,T2_BEFORE_STOP_63,2023,2023-01-02,2023-12-29,2011-09-09,2022-12-26,2023-01-02,7878,740,285,2,0
HISTORICAL WALK-FORWARD / PSEUDO-OOS,trade_opportunity,T2_BEFORE_STOP_63,2024,2024-01-01,2024-12-31,2011-09-09,2023-12-22,2024-01-01,8605,851,299,3,0
HISTORICAL WALK-FORWARD / PSEUDO-OOS,trade_opportunity,T2_BEFORE_STOP_63,2025,2025-01-01,2025-12-31,2011-09-09,2024-12-23,2025-01-01,9431,533,155,0,0
HISTORICAL WALK-FORWARD / PSEUDO-OOS,trade_opportunity,T2_BEFORE_STOP_63,2026,2026-01-01,2026-08-28,2011-09-09,2025-12-17,2026-01-01,9959,193,118,0,0
HISTORICAL WALK-FORWARD / PSEUDO-OOS,trade_opportunity,TIME_TO_T1_SESSIONS,2016,2016-01-04,2016-12-30,2011-09-09,2015-12-30,2016-01-04,1747,224,145,0,0
HISTORICAL WALK-FORWARD / PSEUDO-OOS,trade_opportunity,TIME_TO_T1_SESSIONS,2017,2017-01-02,2017-12-29,2011-09-09,2016-12-19,2017-01-02,1962,672,241,3,0
HISTORICAL WALK-FORWARD / PSEUDO-OOS,trade_opportunity,TIME_TO_T1_SESSIONS,2018,2018-01-02,2018-12-31,2011-09-09,2017-12-27,2018-01-02,2628,291,193,0,0
HISTORICAL WALK-FORWARD / PSEUDO-OOS,trade_opportunity,TIME_TO_T1_SESSIONS,2019,2019-01-02,2019-12-31,2011-09-09,2018-12-17,2019-01-02,2912,246,195,0,0
HISTORICAL WALK-FORWARD / PSEUDO-OOS,trade_opportunity,TIME_TO_T1_SESSIONS,2020,2020-01-01,2020-12-31,2011-09-09,2019-12-13,2020-01-01,3179,360,216,0,0
HISTORICAL WALK-FORWARD / PSEUDO-OOS,trade_opportunity,TIME_TO_T1_SESSIONS,2021,2021-01-01,2021-12-31,2011-09-09,2020-12-22,2021-01-01,3495,572,352,0,0
HISTORICAL WALK-FORWARD / PSEUDO-OOS,trade_opportunity,TIME_TO_T1_SESSIONS,2022,2022-01-05,2022-12-30,2011-09-09,2021-12-30,2022-01-05,4111,277,226,0,0
HISTORICAL WALK-FORWARD / PSEUDO-OOS,trade_opportunity,TIME_TO_T1_SESSIONS,2023,2023-01-02,2023-12-29,2011-09-09,2022-12-07,2023-01-02,4380,423,285,2,0
HISTORICAL WALK-FORWARD / PSEUDO-OOS,trade_opportunity,TIME_TO_T1_SESSIONS,2024,2024-01-01,2024-12-31,2011-09-09,2023-12-26,2024-01-01,4796,468,299,3,0
HISTORICAL WALK-FORWARD / PSEUDO-OOS,trade_opportunity,TIME_TO_T1_SESSIONS,2025,2025-01-01,2025-12-31,2011-09-09,2024-12-03,2025-01-01,5251,281,155,0,0
HISTORICAL WALK-FORWARD / PSEUDO-OOS,trade_opportunity,TIME_TO_T1_SESSIONS,2026,2026-01-01,2026-08-28,2011-09-09,2025-12-17,2026-01-01,5530,101,113,0,0
HISTORICAL WALK-FORWARD / PSEUDO-OOS,trade_opportunity,TIME_TO_T2_SESSIONS,2016,2016-01-04,2016-12-30,2011-09-15,2015-11-24,2016-01-04,1076,99,145,0,0
HISTORICAL WALK-FORWARD / PSEUDO-OOS,trade_opportunity,TIME_TO_T2_SESSIONS,2017,2017-01-02,2017-12-29,2011-09-15,2016-09-29,2017-01-02,1159,447,241,3,0
HISTORICAL WALK-FORWARD / PSEUDO-OOS,trade_opportunity,TIME_TO_T2_SESSIONS,2018,2018-01-02,2018-12-31,2011-09-15,2017-12-19,2018-01-02,1554,163,193,0,0
HISTORICAL WALK-FORWARD / PSEUDO-OOS,trade_opportunity,TIME_TO_T2_SESSIONS,2019,2019-01-02,2019-12-31,2011-09-15,2018-09-19,2019-01-02,1766,110,195,0,0
HISTORICAL WALK-FORWARD / PSEUDO-OOS,trade_opportunity,TIME_TO_T2_SESSIONS,2020,2020-01-01,2020-12-31,2011-09-15,2019-11-05,2020-01-01,1894,278,216,0,0
HISTORICAL WALK-FORWARD / PSEUDO-OOS,trade_opportunity,TIME_TO_T2_SESSIONS,2021,2021-01-01,2021-12-31,2011-09-15,2020-12-17,2021-01-01,2106,384,352,0,0
HISTORICAL WALK-FORWARD / PSEUDO-OOS,trade_opportunity,TIME_TO_T2_SESSIONS,2022,2022-01-05,2022-12-30,2011-09-15,2021-12-14,2022-01-05,2551,131,226,0,0
HISTORICAL WALK-FORWARD / PSEUDO-OOS,trade_opportunity,TIME_TO_T2_SESSIONS,2023,2023-01-02,2023-12-29,2011-09-15,2022-11-14,2023-01-02,2683,254,285,2,0
HISTORICAL WALK-FORWARD / PSEUDO-OOS,trade_opportunity,TIME_TO_T2_SESSIONS,2024,2024-01-01,2024-12-31,2011-09-15,2023-12-22,2024-01-01,2911,261,299,3,0
HISTORICAL WALK-FORWARD / PSEUDO-OOS,trade_opportunity,TIME_TO_T2_SESSIONS,2025,2025-01-01,2025-12-31,2011-09-15,2024-12-03,2025-01-01,3179,127,155,0,0
HISTORICAL WALK-FORWARD / PSEUDO-OOS,trade_opportunity,TIME_TO_T2_SESSIONS,2026,2026-01-01,2026-08-28,2011-09-15,2025-12-10,2026-01-01,3310,52,118,0,0
HISTORICAL WALK-FORWARD / PSEUDO-OOS,trade_opportunity,D1_SHADOW_NET_R,2016,2016-01-04,2016-12-30,2012-02-27,2015-10-19,2016-01-04,258,38,491,0,0
HISTORICAL WALK-FORWARD / PSEUDO-OOS,trade_opportunity,D1_SHADOW_NET_R,2017,2017-01-02,2017-12-29,2012-02-27,2016-12-08,2017-01-02,296,59,1160,3,0
HISTORICAL WALK-FORWARD / PSEUDO-OOS,trade_opportunity,D1_SHADOW_NET_R,2018,2018-01-02,2018-12-31,2012-02-27,2017-12-13,2018-01-02,350,52,738,0,0
HISTORICAL WALK-FORWARD / PSEUDO-OOS,trade_opportunity,D1_SHADOW_NET_R,2019,2019-01-02,2019-12-31,2012-02-27,2018-12-07,2019-01-02,407,58,677,0,0
HISTORICAL WALK-FORWARD / PSEUDO-OOS,trade_opportunity,D1_SHADOW_NET_R,2020,2020-01-01,2020-12-31,2012-02-27,2019-11-28,2020-01-01,464,40,721,0,0
HISTORICAL WALK-FORWARD / PSEUDO-OOS,trade_opportunity,D1_SHADOW_NET_R,2021,2021-01-01,2021-12-31,2012-02-27,2020-12-18,2021-01-01,505,75,1334,0,0
HISTORICAL WALK-FORWARD / PSEUDO-OOS,trade_opportunity,D1_SHADOW_NET_R,2022,2022-01-05,2022-12-30,2012-02-27,2021-11-25,2022-01-05,580,86,810,0,0
HISTORICAL WALK-FORWARD / PSEUDO-OOS,trade_opportunity,D1_SHADOW_NET_R,2023,2023-01-02,2023-12-29,2012-02-27,2022-12-22,2023-01-02,662,65,960,2,0
HISTORICAL WALK-FORWARD / PSEUDO-OOS,trade_opportunity,D1_SHADOW_NET_R,2024,2024-01-01,2024-12-31,2012-02-27,2023-11-23,2024-01-01,728,41,1109,3,0
HISTORICAL WALK-FORWARD / PSEUDO-OOS,trade_opportunity,D1_SHADOW_NET_R,2025,2025-01-01,2025-12-31,2012-02-27,2024-12-19,2025-01-01,772,43,645,0,0
HISTORICAL WALK-FORWARD / PSEUDO-OOS,trade_opportunity,D1_SHADOW_NET_R,2026,2026-01-01,2026-08-28,2012-02-27,2025-12-17,2026-01-01,812,13,298,0,0
HISTORICAL WALK-FORWARD / PSEUDO-OOS,d1_position_day,D1_EXIT_NEXT_SESSION,2016,2016-04-13,2016-12-21,2012-02-28,2015-11-09,2016-04-13,1259,182,0,171,0
HISTORICAL WALK-FORWARD / PSEUDO-OOS,d1_position_day,D1_EXIT_NEXT_SESSION,2017,2017-02-21,2017-12-29,2012-02-28,2016-12-21,2017-02-21,1441,296,0,189,0
HISTORICAL WALK-FORWARD / PSEUDO-OOS,d1_position_day,D1_EXIT_NEXT_SESSION,2018,2018-01-01,2018-12-10,2012-02-28,2017-12-15,2018-01-01,1693,261,0,170,0
HISTORICAL WALK-FORWARD / PSEUDO-OOS,d1_position_day,D1_EXIT_NEXT_SESSION,2019,2019-01-16,2019-12-31,2012-02-28,2018-12-10,2019-01-16,1998,378,0,302,0
HISTORICAL WALK-FORWARD / PSEUDO-OOS,d1_position_day,D1_EXIT_NEXT_SESSION,2020,2020-01-01,2020-12-21,2012-02-28,2019-12-04,2020-01-01,2368,296,0,243,0
HISTORICAL WALK-FORWARD / PSEUDO-OOS,d1_position_day,D1_EXIT_NEXT_SESSION,2021,2021-01-25,2021-11-25,2012-02-28,2020-12-21,2021-01-25,2672,493,0,394,0
HISTORICAL WALK-FORWARD / PSEUDO-OOS,d1_position_day,D1_EXIT_NEXT_SESSION,2022,2022-01-10,2022-12-30,2012-02-28,2021-11-25,2022-01-10,3165,298,0,221,0
HISTORICAL WALK-FORWARD / PSEUDO-OOS,d1_position_day,D1_EXIT_NEXT_SESSION,2023,2023-01-02,2023-12-29,2012-02-28,2022-12-23,2023-01-02,3447,351,0,242,0
HISTORICAL WALK-FORWARD / PSEUDO-OOS,d1_position_day,D1_EXIT_NEXT_SESSION,2024,2024-01-01,2024-12-30,2012-02-28,2023-12-20,2024-01-01,3793,245,0,184,0
HISTORICAL WALK-FORWARD / PSEUDO-OOS,d1_position_day,D1_EXIT_NEXT_SESSION,2025,2025-01-03,2025-12-31,2012-02-28,2024-12-30,2025-01-03,4059,226,0,141,0
HISTORICAL WALK-FORWARD / PSEUDO-OOS,d1_position_day,D1_EXIT_NEXT_SESSION,2026,2026-01-01,2026-08-13,2012-02-28,2025-12-29,2026-01-01,4282,65,0,18,0
HISTORICAL WALK-FORWARD / PSEUDO-OOS,d1_position_day,D1_REMAINING_NET_R,2016,2016-04-13,2016-12-21,2012-02-28,2015-11-09,2016-04-13,1259,182,0,171,0
HISTORICAL WALK-FORWARD / PSEUDO-OOS,d1_position_day,D1_REMAINING_NET_R,2017,2017-02-21,2017-12-29,2012-02-28,2016-12-21,2017-02-21,1441,296,0,189,0
HISTORICAL WALK-FORWARD / PSEUDO-OOS,d1_position_day,D1_REMAINING_NET_R,2018,2018-01-01,2018-12-10,2012-02-28,2017-12-15,2018-01-01,1693,261,0,170,0
HISTORICAL WALK-FORWARD / PSEUDO-OOS,d1_position_day,D1_REMAINING_NET_R,2019,2019-01-16,2019-12-31,2012-02-28,2018-12-10,2019-01-16,1998,378,0,302,0
HISTORICAL WALK-FORWARD / PSEUDO-OOS,d1_position_day,D1_REMAINING_NET_R,2020,2020-01-01,2020-12-21,2012-02-28,2019-12-04,2020-01-01,2368,296,0,243,0
HISTORICAL WALK-FORWARD / PSEUDO-OOS,d1_position_day,D1_REMAINING_NET_R,2021,2021-01-25,2021-11-25,2012-02-28,2020-12-21,2021-01-25,2672,493,0,394,0
HISTORICAL WALK-FORWARD / PSEUDO-OOS,d1_position_day,D1_REMAINING_NET_R,2022,2022-01-10,2022-12-30,2012-02-28,2021-11-25,2022-01-10,3165,298,0,221,0
HISTORICAL WALK-FORWARD / PSEUDO-OOS,d1_position_day,D1_REMAINING_NET_R,2023,2023-01-02,2023-12-29,2012-02-28,2022-12-23,2023-01-02,3447,351,0,242,0
HISTORICAL WALK-FORWARD / PSEUDO-OOS,d1_position_day,D1_REMAINING_NET_R,2024,2024-01-01,2024-12-30,2012-02-28,2023-12-20,2024-01-01,3793,245,0,184,0
HISTORICAL WALK-FORWARD / PSEUDO-OOS,d1_position_day,D1_REMAINING_NET_R,2025,2025-01-03,2025-12-31,2012-02-28,2024-12-30,2025-01-03,4059,226,0,141,0
HISTORICAL WALK-FORWARD / PSEUDO-OOS,d1_position_day,D1_REMAINING_NET_R,2026,2026-01-01,2026-08-13,2012-02-28,2025-12-29,2026-01-01,4282,65,0,18,0
HISTORICAL WALK-FORWARD / PSEUDO-OOS,trade_opportunity,FWD_CLOSE_RETURN_10_PCT,2016,2016-01-04,2016-12-30,2011-09-09,2015-12-17,2016-01-04,3156,384,145,0,0
HISTORICAL WALK-FORWARD / PSEUDO-OOS,trade_opportunity,FWD_CLOSE_RETURN_10_PCT,2017,2017-01-02,2017-12-29,2011-09-09,2016-12-16,2017-01-02,3536,978,241,3,0
HISTORICAL WALK-FORWARD / PSEUDO-OOS,trade_opportunity,FWD_CLOSE_RETURN_10_PCT,2018,2018-01-02,2018-12-31,2011-09-09,2017-12-15,2018-01-02,4486,597,193,0,0
HISTORICAL WALK-FORWARD / PSEUDO-OOS,trade_opportunity,FWD_CLOSE_RETURN_10_PCT,2019,2019-01-02,2019-12-31,2011-09-09,2018-12-17,2019-01-02,5099,540,195,0,0
HISTORICAL WALK-FORWARD / PSEUDO-OOS,trade_opportunity,FWD_CLOSE_RETURN_10_PCT,2020,2020-01-01,2020-12-31,2011-09-09,2019-12-13,2020-01-01,5659,545,216,0,0
HISTORICAL WALK-FORWARD / PSEUDO-OOS,trade_opportunity,FWD_CLOSE_RETURN_10_PCT,2021,2021-01-01,2021-12-31,2011-09-09,2020-12-16,2021-01-01,6167,1057,352,0,0
HISTORICAL WALK-FORWARD / PSEUDO-OOS,trade_opportunity,FWD_CLOSE_RETURN_10_PCT,2022,2022-01-05,2022-12-30,2011-09-09,2021-12-14,2022-01-05,7266,670,226,0,0
HISTORICAL WALK-FORWARD / PSEUDO-OOS,trade_opportunity,FWD_CLOSE_RETURN_10_PCT,2023,2023-01-02,2023-12-29,2011-09-09,2022-12-16,2023-01-02,7911,740,285,2,0
HISTORICAL WALK-FORWARD / PSEUDO-OOS,trade_opportunity,FWD_CLOSE_RETURN_10_PCT,2024,2024-01-01,2024-12-31,2011-09-09,2023-12-14,2024-01-01,8629,851,299,3,0
HISTORICAL WALK-FORWARD / PSEUDO-OOS,trade_opportunity,FWD_CLOSE_RETURN_10_PCT,2025,2025-01-01,2025-12-31,2011-09-09,2024-12-16,2025-01-01,9466,533,155,0,0
HISTORICAL WALK-FORWARD / PSEUDO-OOS,trade_opportunity,FWD_CLOSE_RETURN_10_PCT,2026,2026-01-01,2026-08-28,2011-09-09,2025-12-16,2026-01-01,10036,225,86,0,0
HISTORICAL WALK-FORWARD / PSEUDO-OOS,trade_opportunity,FWD_CLOSE_RETURN_20_PCT,2016,2016-01-04,2016-12-30,2011-09-09,2015-12-03,2016-01-04,3147,384,145,0,0
HISTORICAL WALK-FORWARD / PSEUDO-OOS,trade_opportunity,FWD_CLOSE_RETURN_20_PCT,2017,2017-01-02,2017-12-29,2011-09-09,2016-12-02,2017-01-02,3518,978,241,3,0
HISTORICAL WALK-FORWARD / PSEUDO-OOS,trade_opportunity,FWD_CLOSE_RETURN_20_PCT,2018,2018-01-02,2018-12-31,2011-09-09,2017-12-01,2018-01-02,4423,597,193,0,0
HISTORICAL WALK-FORWARD / PSEUDO-OOS,trade_opportunity,FWD_CLOSE_RETURN_20_PCT,2019,2019-01-02,2019-12-31,2011-09-09,2018-12-03,2019-01-02,5080,540,195,0,0
HISTORICAL WALK-FORWARD / PSEUDO-OOS,trade_opportunity,FWD_CLOSE_RETURN_20_PCT,2020,2020-01-01,2020-12-31,2011-09-09,2019-12-02,2020-01-01,5638,545,216,0,0
HISTORICAL WALK-FORWARD / PSEUDO-OOS,trade_opportunity,FWD_CLOSE_RETURN_20_PCT,2021,2021-01-01,2021-12-31,2011-09-09,2020-12-02,2021-01-01,6140,1057,352,0,0
HISTORICAL WALK-FORWARD / PSEUDO-OOS,trade_opportunity,FWD_CLOSE_RETURN_20_PCT,2022,2022-01-05,2022-12-30,2011-09-09,2021-12-03,2022-01-05,7261,670,226,0,0
HISTORICAL WALK-FORWARD / PSEUDO-OOS,trade_opportunity,FWD_CLOSE_RETURN_20_PCT,2023,2023-01-02,2023-12-29,2011-09-09,2022-12-02,2023-01-02,7874,740,285,2,0
HISTORICAL WALK-FORWARD / PSEUDO-OOS,trade_opportunity,FWD_CLOSE_RETURN_20_PCT,2024,2024-01-01,2024-12-31,2011-09-09,2023-11-30,2024-01-01,8619,851,299,3,0
HISTORICAL WALK-FORWARD / PSEUDO-OOS,trade_opportunity,FWD_CLOSE_RETURN_20_PCT,2025,2025-01-01,2025-12-31,2011-09-09,2024-12-02,2025-01-01,9446,533,155,0,0
HISTORICAL WALK-FORWARD / PSEUDO-OOS,trade_opportunity,FWD_CLOSE_RETURN_20_PCT,2026,2026-01-01,2026-08-28,2011-09-09,2025-12-02,2026-01-01,9986,192,119,0,0
HISTORICAL WALK-FORWARD / PSEUDO-OOS,trade_opportunity,FWD_CLOSE_RETURN_30_PCT,2016,2016-01-04,2016-12-30,2011-09-09,2015-11-17,2016-01-04,3131,384,145,0,0
HISTORICAL WALK-FORWARD / PSEUDO-OOS,trade_opportunity,FWD_CLOSE_RETURN_30_PCT,2017,2017-01-02,2017-12-29,2011-09-09,2016-11-15,2017-01-02,3508,978,241,3,0
HISTORICAL WALK-FORWARD / PSEUDO-OOS,trade_opportunity,FWD_CLOSE_RETURN_30_PCT,2018,2018-01-02,2018-12-31,2011-09-09,2017-11-17,2018-01-02,4348,597,193,0,0
HISTORICAL WALK-FORWARD / PSEUDO-OOS,trade_opportunity,FWD_CLOSE_RETURN_30_PCT,2019,2019-01-02,2019-12-31,2011-09-09,2018-11-14,2019-01-02,5071,540,195,0,0
HISTORICAL WALK-FORWARD / PSEUDO-OOS,trade_opportunity,FWD_CLOSE_RETURN_30_PCT,2020,2020-01-01,2020-12-31,2011-09-09,2019-11-18,2020-01-01,5613,545,216,0,0
HISTORICAL WALK-FORWARD / PSEUDO-OOS,trade_opportunity,FWD_CLOSE_RETURN_30_PCT,2021,2021-01-01,2021-12-31,2011-09-09,2020-11-17,2021-01-01,6111,1057,352,0,0
HISTORICAL WALK-FORWARD / PSEUDO-OOS,trade_opportunity,FWD_CLOSE_RETURN_30_PCT,2022,2022-01-05,2022-12-30,2011-09-09,2021-11-23,2022-01-05,7246,670,226,0,0
HISTORICAL WALK-FORWARD / PSEUDO-OOS,trade_opportunity,FWD_CLOSE_RETURN_30_PCT,2023,2023-01-02,2023-12-29,2011-09-09,2022-11-18,2023-01-02,7845,740,285,2,0
HISTORICAL WALK-FORWARD / PSEUDO-OOS,trade_opportunity,FWD_CLOSE_RETURN_30_PCT,2024,2024-01-01,2024-12-31,2011-09-09,2023-11-10,2024-01-01,8592,851,299,3,0
HISTORICAL WALK-FORWARD / PSEUDO-OOS,trade_opportunity,FWD_CLOSE_RETURN_30_PCT,2025,2025-01-01,2025-12-31,2011-09-09,2024-11-14,2025-01-01,9421,533,155,0,0
HISTORICAL WALK-FORWARD / PSEUDO-OOS,trade_opportunity,FWD_CLOSE_RETURN_30_PCT,2026,2026-01-01,2026-08-28,2011-09-09,2025-11-18,2026-01-01,9952,181,130,0,0
HISTORICAL WALK-FORWARD / PSEUDO-OOS,trade_opportunity,FWD_CLOSE_RETURN_45_PCT,2016,2016-01-04,2016-12-30,2011-09-09,2015-10-26,2016-01-04,3096,384,145,0,0
HISTORICAL WALK-FORWARD / PSEUDO-OOS,trade_opportunity,FWD_CLOSE_RETURN_45_PCT,2017,2017-01-02,2017-12-29,2011-09-09,2016-10-26,2017-01-02,3494,978,241,3,0
HISTORICAL WALK-FORWARD / PSEUDO-OOS,trade_opportunity,FWD_CLOSE_RETURN_45_PCT,2018,2018-01-02,2018-12-31,2011-09-09,2017-10-27,2018-01-02,4286,597,193,0,0
HISTORICAL WALK-FORWARD / PSEUDO-OOS,trade_opportunity,FWD_CLOSE_RETURN_45_PCT,2019,2019-01-02,2019-12-31,2011-09-09,2018-10-22,2019-01-02,5070,540,195,0,0
HISTORICAL WALK-FORWARD / PSEUDO-OOS,trade_opportunity,FWD_CLOSE_RETURN_45_PCT,2020,2020-01-01,2020-12-31,2011-09-09,2019-10-24,2020-01-01,5571,545,216,0,0
HISTORICAL WALK-FORWARD / PSEUDO-OOS,trade_opportunity,FWD_CLOSE_RETURN_45_PCT,2021,2021-01-01,2021-12-31,2011-09-09,2020-10-27,2021-01-01,6065,1057,352,0,0
HISTORICAL WALK-FORWARD / PSEUDO-OOS,trade_opportunity,FWD_CLOSE_RETURN_45_PCT,2022,2022-01-05,2022-12-30,2011-09-09,2021-10-29,2022-01-05,7183,670,226,0,0
HISTORICAL WALK-FORWARD / PSEUDO-OOS,trade_opportunity,FWD_CLOSE_RETURN_45_PCT,2023,2023-01-02,2023-12-29,2011-09-09,2022-10-27,2023-01-02,7764,740,285,2,0
HISTORICAL WALK-FORWARD / PSEUDO-OOS,trade_opportunity,FWD_CLOSE_RETURN_45_PCT,2024,2024-01-01,2024-12-31,2011-09-09,2023-10-23,2024-01-01,8574,851,299,3,0
HISTORICAL WALK-FORWARD / PSEUDO-OOS,trade_opportunity,FWD_CLOSE_RETURN_45_PCT,2025,2025-01-01,2025-12-31,2011-09-09,2024-10-24,2025-01-01,9377,533,155,0,0
HISTORICAL WALK-FORWARD / PSEUDO-OOS,trade_opportunity,FWD_CLOSE_RETURN_45_PCT,2026,2026-01-01,2026-08-28,2011-09-09,2025-10-27,2026-01-01,9904,164,147,0,0
HISTORICAL WALK-FORWARD / PSEUDO-OOS,trade_opportunity,FWD_CLOSE_RETURN_63_PCT,2016,2016-01-04,2016-12-30,2011-09-09,2015-08-25,2016-01-04,3068,384,145,0,0
HISTORICAL WALK-FORWARD / PSEUDO-OOS,trade_opportunity,FWD_CLOSE_RETURN_63_PCT,2017,2017-01-02,2017-12-29,2011-09-09,2016-09-28,2017-01-02,3474,978,241,3,0
