Scope,Comparison Class,Field,Expected,Actual,Absolute Difference,Canonical Expected,Canonical Actual,Behavioral Match,Status,Explanation
R3_K1 D1 policy summary,NUMERIC_VALUE,Total Return %,FULL_FROZEN_REFERENCE_COLUMN,FULL_CURRENT_REPLAY_COLUMN,1.88293824976e-11,ALL_EQUAL,ALL_EQUAL,True,PASS_SERIALIZATION_ONLY,Frozen Stage 4A.2 parity artifacts define numeric identity by the six-decimal serialized delta; the canonical delta is exactly zero and the full-precision delta is retained as a diagnostic.
R3_K1 D1 policy summary,NUMERIC_VALUE,CAGR %,FULL_FROZEN_REFERENCE_COLUMN,FULL_CURRENT_REPLAY_COLUMN,4.81259476715e-12,ALL_EQUAL,ALL_EQUAL,True,PASS_SERIALIZATION_ONLY,Frozen Stage 4A.2 parity artifacts define numeric identity by the six-decimal serialized delta; the canonical delta is exactly zero and the full-precision delta is retained as a diagnostic.
R3_K1 D1 policy summary,NUMERIC_VALUE,Maximum Drawdown %,FULL_FROZEN_REFERENCE_COLUMN,FULL_CURRENT_REPLAY_COLUMN,2.7142732506e-12,ALL_EQUAL,ALL_EQUAL,True,PASS_SERIALIZATION_ONLY,Frozen Stage 4A.2 parity artifacts define numeric identity by the six-decimal serialized delta; the canonical delta is exactly zero and the full-precision delta is retained as a diagnostic.
R3_K1 D1 policy summary,NUMERIC_VALUE,Annualized Volatility %,FULL_FROZEN_REFERENCE_COLUMN,FULL_CURRENT_REPLAY_COLUMN,1.1901590824e-12,ALL_EQUAL,ALL_EQUAL,True,PASS_SERIALIZATION_ONLY,Frozen Stage 4A.2 parity artifacts define numeric identity by the six-decimal serialized delta; the canonical delta is exactly zero and the full-precision delta is retained as a diagnostic.
R3_K1 D1 policy summary,NUMERIC_VALUE,Average Exposure %,FULL_FROZEN_REFERENCE_COLUMN,FULL_CURRENT_REPLAY_COLUMN,2.94519963973e-12,ALL_EQUAL,ALL_EQUAL,True,PASS_SERIALIZATION_ONLY,Frozen Stage 4A.2 parity artifacts define numeric identity by the six-decimal serialized delta; the canonical delta is exactly zero and the full-precision delta is retained as a diagnostic.
R3_K1 D1 policy summary,NUMERIC_VALUE,Trade Count,FULL_FROZEN_REFERENCE_COLUMN,FULL_CURRENT_REPLAY_COLUMN,0,ALL_EQUAL,ALL_EQUAL,True,PASS_EXACT,Full-precision numeric values are exactly identical.
R3_K1 D1 policy summary,NUMERIC_VALUE,Expectancy R,FULL_FROZEN_REFERENCE_COLUMN,FULL_CURRENT_REPLAY_COLUMN,5.36654054528e-14,ALL_EQUAL,ALL_EQUAL,True,PASS_SERIALIZATION_ONLY,Frozen Stage 4A.2 parity artifacts define numeric identity by the six-decimal serialized delta; the canonical delta is exactly zero and the full-precision delta is retained as a diagnostic.
R3_K1 D1 policy summary,NUMERIC_VALUE,Profit Factor,FULL_FROZEN_REFERENCE_COLUMN,FULL_CURRENT_REPLAY_COLUMN,3.93618471151e-12,ALL_EQUAL,ALL_EQUAL,True,PASS_SERIALIZATION_ONLY,Frozen Stage 4A.2 parity artifacts define numeric identity by the six-decimal serialized delta; the canonical delta is exactly zero and the full-precision delta is retained as a diagnostic.
R3_K1 D1 policy summary,NUMERIC_VALUE,Total Costs,FULL_FROZEN_REFERENCE_COLUMN,FULL_CURRENT_REPLAY_COLUMN,4.8730726121e-09,ALL_EQUAL,ALL_EQUAL,True,PASS_SERIALIZATION_ONLY,Frozen Stage 4A.2 parity artifacts define numeric identity by the six-decimal serialized delta; the canonical delta is exactly zero and the full-precision delta is retained as a diagnostic.
R0_K1 D0 policy summary,ROW_AND_KEY_IDENTITY,Policy,1,1,0,ALL_KEYS_IDENTICAL,ALL_KEYS_IDENTICAL,True,PASS_EXACT,Exact sorted row count and key membership comparison.
R0_K1 D0 policy summary,NUMERIC_VALUE,Starting Equity,FULL_FROZEN_REFERENCE_COLUMN,FULL_CURRENT_REPLAY_COLUMN,0,ALL_EQUAL,ALL_EQUAL,True,PASS_EXACT,Full-precision numeric values are exactly identical.
R0_K1 D0 policy summary,NUMERIC_VALUE,Ending Equity,FULL_FROZEN_REFERENCE_COLUMN,FULL_CURRENT_REPLAY_COLUMN,1.84707459994e-07,ALL_EQUAL,ALL_EQUAL,True,PASS_SERIALIZATION_ONLY,Frozen Stage 4A.2 parity artifacts define numeric identity by the six-decimal serialized delta; the canonical delta is exactly zero and the full-precision delta is retained as a diagnostic.
R0_K1 D0 policy summary,NUMERIC_VALUE,Total Return %,FULL_FROZEN_REFERENCE_COLUMN,FULL_CURRENT_REPLAY_COLUMN,3.07087688611e-13,ALL_EQUAL,ALL_EQUAL,True,PASS_SERIALIZATION_ONLY,Frozen Stage 4A.2 parity artifacts define numeric identity by the six-decimal serialized delta; the canonical delta is exactly zero and the full-precision delta is retained as a diagnostic.
R0_K1 D0 policy summary,NUMERIC_VALUE,CAGR %,FULL_FROZEN_REFERENCE_COLUMN,FULL_CURRENT_REPLAY_COLUMN,1.94844140822e-14,ALL_EQUAL,ALL_EQUAL,True,PASS_SERIALIZATION_ONLY,Frozen Stage 4A.2 parity artifacts define numeric identity by the six-decimal serialized delta; the canonical delta is exactly zero and the full-precision delta is retained as a diagnostic.
R0_K1 D0 policy summary,NUMERIC_VALUE,Maximum Drawdown %,FULL_FROZEN_REFERENCE_COLUMN,FULL_CURRENT_REPLAY_COLUMN,3.77760045467e-11,ALL_EQUAL,ALL_EQUAL,True,PASS_SERIALIZATION_ONLY,Frozen Stage 4A.2 parity artifacts define numeric identity by the six-decimal serialized delta; the canonical delta is exactly zero and the full-precision delta is retained as a diagnostic.
R0_K1 D0 policy summary,NUMERIC_VALUE,Annualized Volatility %,FULL_FROZEN_REFERENCE_COLUMN,FULL_CURRENT_REPLAY_COLUMN,2.72137867796e-12,ALL_EQUAL,ALL_EQUAL,True,PASS_SERIALIZATION_ONLY,Frozen Stage 4A.2 parity artifacts define numeric identity by the six-decimal serialized delta; the canonical delta is exactly zero and the full-precision delta is retained as a diagnostic.
R0_K1 D0 policy summary,NUMERIC_VALUE,Average Exposure %,FULL_FROZEN_REFERENCE_COLUMN,FULL_CURRENT_REPLAY_COLUMN,2.91819901577e-11,ALL_EQUAL,ALL_EQUAL,True,PASS_SERIALIZATION_ONLY,Frozen Stage 4A.2 parity artifacts define numeric identity by the six-decimal serialized delta; the canonical delta is exactly zero and the full-precision delta is retained as a diagnostic.
R0_K1 D0 policy summary,NUMERIC_VALUE,Trade Count,FULL_FROZEN_REFERENCE_COLUMN,FULL_CURRENT_REPLAY_COLUMN,0,ALL_EQUAL,ALL_EQUAL,True,PASS_EXACT,Full-precision numeric values are exactly identical.
R0_K1 D0 policy summary,NUMERIC_VALUE,Expectancy R,FULL_FROZEN_REFERENCE_COLUMN,FULL_CURRENT_REPLAY_COLUMN,4.38191150032e-15,ALL_EQUAL,ALL_EQUAL,True,PASS_SERIALIZATION_ONLY,Frozen Stage 4A.2 parity artifacts define numeric identity by the six-decimal serialized delta; the canonical delta is exactly zero and the full-precision delta is retained as a diagnostic.
R0_K1 D0 policy summary,NUMERIC_VALUE,Profit Factor,FULL_FROZEN_REFERENCE_COLUMN,FULL_CURRENT_REPLAY_COLUMN,2.51931808748e-12,ALL_EQUAL,ALL_EQUAL,True,PASS_SERIALIZATION_ONLY,Frozen Stage 4A.2 parity artifacts define numeric identity by the six-decimal serialized delta; the canonical delta is exactly zero and the full-precision delta is retained as a diagnostic.
R0_K1 D0 policy summary,NUMERIC_VALUE,Total Costs,FULL_FROZEN_REFERENCE_COLUMN,FULL_CURRENT_REPLAY_COLUMN,4.39740688307e-09,ALL_EQUAL,ALL_EQUAL,True,PASS_SERIALIZATION_ONLY,Frozen Stage 4A.2 parity artifacts define numeric identity by the six-decimal serialized delta; the canonical delta is exactly zero and the full-precision delta is retained as a diagnostic.
R3_K1 D0 policy summary,ROW_AND_KEY_IDENTITY,Policy,1,1,0,ALL_KEYS_IDENTICAL,ALL_KEYS_IDENTICAL,True,PASS_EXACT,Exact sorted row count and key membership comparison.
R3_K1 D0 policy summary,NUMERIC_VALUE,Starting Equity,FULL_FROZEN_REFERENCE_COLUMN,FULL_CURRENT_REPLAY_COLUMN,0,ALL_EQUAL,ALL_EQUAL,True,PASS_EXACT,Full-precision numeric values are exactly identical.
R3_K1 D0 policy summary,NUMERIC_VALUE,Ending Equity,FULL_FROZEN_REFERENCE_COLUMN,FULL_CURRENT_REPLAY_COLUMN,2.829474397e-07,ALL_EQUAL,ALL_EQUAL,True,PASS_SERIALIZATION_ONLY,Frozen Stage 4A.2 parity artifacts define numeric identity by the six-decimal serialized delta; the canonical delta is exactly zero and the full-precision delta is retained as a diagnostic.
R3_K1 D0 policy summary,NUMERIC_VALUE,Total Return %,FULL_FROZEN_REFERENCE_COLUMN,FULL_CURRENT_REPLAY_COLUMN,2.95230506708e-12,ALL_EQUAL,ALL_EQUAL,True,PASS_SERIALIZATION_ONLY,Frozen Stage 4A.2 parity artifacts define numeric identity by the six-decimal serialized delta; the canonical delta is exactly zero and the full-precision delta is retained as a diagnostic.
R3_K1 D0 policy summary,NUMERIC_VALUE,CAGR %,FULL_FROZEN_REFERENCE_COLUMN,FULL_CURRENT_REPLAY_COLUMN,4.22217816265e-13,ALL_EQUAL,ALL_EQUAL,True,PASS_SERIALIZATION_ONLY,Frozen Stage 4A.2 parity artifacts define numeric identity by the six-decimal serialized delta; the canonical delta is exactly zero and the full-precision delta is retained as a diagnostic.
R3_K1 D0 policy summary,NUMERIC_VALUE,Maximum Drawdown %,FULL_FROZEN_REFERENCE_COLUMN,FULL_CURRENT_REPLAY_COLUMN,2.22293294883e-11,ALL_EQUAL,ALL_EQUAL,True,PASS_SERIALIZATION_ONLY,Frozen Stage 4A.2 parity artifacts define numeric identity by the six-decimal serialized delta; the canonical delta is exactly zero and the full-precision delta is retained as a diagnostic.
R3_K1 D0 policy summary,NUMERIC_VALUE,Annualized Volatility %,FULL_FROZEN_REFERENCE_COLUMN,FULL_CURRENT_REPLAY_COLUMN,1.46638257092e-12,ALL_EQUAL,ALL_EQUAL,True,PASS_SERIALIZATION_ONLY,Frozen Stage 4A.2 parity artifacts define numeric identity by the six-decimal serialized delta; the canonical delta is exactly zero and the full-precision delta is retained as a diagnostic.
R3_K1 D0 policy summary,NUMERIC_VALUE,Average Exposure %,FULL_FROZEN_REFERENCE_COLUMN,FULL_CURRENT_REPLAY_COLUMN,1.59801061272e-11,ALL_EQUAL,ALL_EQUAL,True,PASS_SERIALIZATION_ONLY,Frozen Stage 4A.2 parity artifacts define numeric identity by the six-decimal serialized delta; the canonical delta is exactly zero and the full-precision delta is retained as a diagnostic.
R3_K1 D0 policy summary,NUMERIC_VALUE,Trade Count,FULL_FROZEN_REFERENCE_COLUMN,FULL_CURRENT_REPLAY_COLUMN,0,ALL_EQUAL,ALL_EQUAL,True,PASS_EXACT,Full-precision numeric values are exactly identical.
R3_K1 D0 policy summary,NUMERIC_VALUE,Expectancy R,FULL_FROZEN_REFERENCE_COLUMN,FULL_CURRENT_REPLAY_COLUMN,1.04950770297e-14,ALL_EQUAL,ALL_EQUAL,True,PASS_SERIALIZATION_ONLY,Frozen Stage 4A.2 parity artifacts define numeric identity by the six-decimal serialized delta; the canonical delta is exactly zero and the full-precision delta is retained as a diagnostic.
R3_K1 D0 policy summary,NUMERIC_VALUE,Profit Factor,FULL_FROZEN_REFERENCE_COLUMN,FULL_CURRENT_REPLAY_COLUMN,1.16884280033e-12,ALL_EQUAL,ALL_EQUAL,True,PASS_SERIALIZATION_ONLY,Frozen Stage 4A.2 parity artifacts define numeric identity by the six-decimal serialized delta; the canonical delta is exactly zero and the full-precision delta is retained as a diagnostic.
R3_K1 D0 policy summary,NUMERIC_VALUE,Total Costs,FULL_FROZEN_REFERENCE_COLUMN,FULL_CURRENT_REPLAY_COLUMN,1.84263626579e-09,ALL_EQUAL,ALL_EQUAL,True,PASS_SERIALIZATION_ONLY,Frozen Stage 4A.2 parity artifacts define numeric identity by the six-decimal serialized delta; the canonical delta is exactly zero and the full-precision delta is retained as a diagnostic.
